RECIPE;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
AMAEBI FRY;gamberi;pasta kataifi;salsa teriyaki;maionese piccante;;;;;;;;;;;
NORI EDAMAME;soya;alga Nori;Shichimi;;;;;;;;;;;;
MISO SOUP;Zuppa;alga Nori;tofu;;;;;;;;;;;;
OSUMASHI;Zuppa;alga Nori;asparagi;;;;;;;;;;;;
SHRIMP-SALMON;tempura;gamberi;philadelphia;salmone;tobiko;salsa teriyaki;;;;;;;;;
SUZUKI-SUKAMPI;Scampi;foglia di Shiso;philadelphia;branzino;salsa yuzu;wasabi;caviale;;;;;;;;
SAKE-ROYAL;granchio;avocado;salmone;maionese piccante;tobiko;;;;;;;;;;
SAKE-PINEAPPLE;ananas;tempura;gamberi;salmone;salsa teriyaki;mandorle;;;;;;;;;
SHISO;verdure;tempura;foglia di Shiso;farina di tapioca;riso;salsa di miso;;;;;;;;;
SAKE TATAKI;salmone;sesamo;salsa dello chef;;;;;;;;;;;;
MAGURO TATAKI;tonno;sesamo;salsa dello chef;;;;;;;;;;;;
HAMACHI TATAKI;ricciola;pistacchio;salsa ponzu;;;;;;;;;;;;
SALMON TARTAR;salmone;avocado;sesamo;salsa dello chef;;;;;;;;;;;
TUNA TARTAR ;tonno;avocado;sesamo;salsa dello chef;;;;;;;;;;;
NATSU TARTAR;gamberi;salmone;pomodoro;avocado;salsa dello chef;;;;;;;;;;
AMAEBI TARTAR;gamberi;salsa yuzu;wasabi;insalata;;;;;;;;;;;
SPECIAL KARUPATCHO;gamberi;scampi;salmone;salsa ponzu;;;;;;;;;;;
WAGYU KARUPATCHO;manzo;olio;salsa ponzu;;;;;;;;;;;;
HAMACHI ZUKURI;ricciola;pomodoro;wasabi;salsa ponzu;;;;;;;;;;;
SAKE ZUKURI;salmone;tobiko;sesamo;salsa ponzu;;;;;;;;;;;
SAKE HANAMAKI;riso;salmone;maionese piccante;;;;;;;;;;;;
MAGURO HANAMAKI;riso;tonno;maionese piccante;;;;;;;;;;;;
SAKE FUTOMAKI;riso;salmone;avocado;granchio;cetriolo;;;;;;;;;;
TEKKA FUTOMAKI;riso;tonno;avocado;granchio;cetriolo;;;;;;;;;;
QUAGLIA HANAMAKI;riso;salmone;uova di quaglia;erba cipollina;salsa ponzu;olio tartufato;;;;;;;;;
KASAI;riso;salmone;philadelphia;fragola;;;;;;;;;;;
ROYAL HANAMAKI;riso;salmone;granchio;maionese;tobiko;;;;;;;;;;
ROSE HANAMAKI;riso;ricciola;scampi;avocado;maionese piccante;;;;;;;;;;
S?MON NO HARA HANAMAKI;riso;salmone;caviale;;;;;;;;;;;;
FOIE-GRAS HANAMAKI;salmone;riso;gamberi;foie gras;;;;;;;;;;;
SAKE IKURA HANAMAKI;salmone;riso;uova di salmone;;;;;;;;;;;;
TOBIKO GUNKAN;riso;branzino;uova di pesce volante;;;;;;;;;;;;
SAKE TEMAKI;alga nori;salmone;avocado;formaggio;;;;;;;;;;;
MAGURO TEMAKI;alga nori;tonno;avocado;formaggio;;;;;;;;;;;
ASTICE TEMAKI;astice;alga nori;insalata;pomodoro;maionese;tobiko;;;;;;;;;
ROYAL TEMAKI;alga nori;granchio;avocado;maionese;;;;;;;;;;;
CALIFORNIA TEMAKI;alga nori;granchio;avocado;cetriolo;maionese;tobiko;;;;;;;;;
EBITEN TEMAKI;alga nori;gamberi;insalata;maionese;salsa teriyaki;;;;;;;;;;
VEGAN TEMAKI;alga nori;pomodoro;avocado;insalata;cetriolo;sesamo;salsa di miso;;;;;;;;
OYAKO TEMAKI;alga nori;salmone;uova di salmone;maionese;foglia di Shiso;;;;;;;;;;
SAKE ROLL;riso;alga nori;salmone;avocado;formaggio;sesamo;;;;;;;;;
MAGURO ROLL;riso;alga nori;tonno;avocado;formaggio;sesamo;;;;;;;;;
EBI TEN;riso;alga nori;gamberi;insalata;formaggio;salsa teriyaki;sesamo;pasta kataifi;;;;;;;
MIURA MAKI;riso;alga nori;salmone;tempura;formaggio;sesamo;arachidi;salsa teriyaki;;;;;;;
RAINBOW;riso;alga nori;salmone;cetriolo;formaggio;avocado;;;;;;;;;
CALIFORNIA;riso;alga nori;granchio;gamberi;avocado;cetriolo;maionese;sesamo;tobiko;;;;;;
VEGAN;riso;alga nori;verdure;sesamo;salsa di miso;mandorle;;;;;;;;;
TORI ROLL;riso;alga nori;pollo;spezie;pane giapponese;cetriolo;sesamo;maionese piccante;;;;;;;
TIGER ROLL;riso;alga nori;tempura;gamberi;insalata;salmone;ikura;;;;;;;;
FUTOMAKI MIX;riso;alga nori;salmone;insalata;tobiko;;;;;;;;;;
YASAI FUTO;riso;alga nori;verdure;tempura;soya;salsa di miso;mandorle;;;;;;;;
ASTICE ROLL;riso;alga nori;astice;avocado;maionese;pomodoro;tobiko;wasabi;;;;;;;
ROYAL CRAB ROLL;riso;alga nori;granchio;avocado;maionese;sesamo;tobiko;;;;;;;;
MAZARA ROLL;riso;alga nori;gamberi;insalata;avocado;;;;;;;;;;
ALASKA;riso;alga nori;salmone;salsa piccante;erba cipollina;tobiko;;;;;;;;;
YUME ROLL;riso;alga nori;fiori di zucca;gamberi;zucchine;maionese;;;;;;;;;
SCAMPI ROLL;riso;alga nori;scampi;avocado;tobiko;;;;;;;;;;
HOTATE KAI;riso;alga nori;capesante;maionese;avocado;tobiko;mango;sesamo;salsa al mango;;;;;;
BLACK EBI TEN;riso;alga nori;nero di seppia;gamberi;insalata;tempura;formaggio;salsa teriyaki;sesamo;pasta kataifi;;;;;
SPECIAL EBI TEN;riso;alga nori;tempura;gamberi;formaggio;insalata;salmone;pasta kataifi;salsa teriyaki;;;;;;
SALMON FUME';riso;alga nori;salmone;avocado;pistacchio;;;;;;;;;;
VULCAN ROLL;riso;alga nori;salmone;formaggio;insalata;sesamo;tobiko;maionese piccante;;;;;;;
SALMON CREAM CHEESE;riso;alga nori;salmone;formaggio;avocado;;;;;;;;;;
TUNA CREAM CHEESE;riso;alga nori;tonno;formaggio;avocado;;;;;;;;;;
UNAGI ROLL;riso;alga nori;anguilla;sesamo;avocado;salsa kabayaki;;;;;;;;;
PINEAPPLE ROLL ;riso;alga nori;ananas;tempura;gamberi;salmone;salsa teriyaki;mandorle;;;;;;;
TROPICAL TUNA;riso;alga nori;tonno;avocado;gamberi;sesamo;mango;salsa al mango;;;;;;;
MAKI FRITTO;riso;alga nori;tempura;salmone;formaggio;daikon;salsa teriyaki;arachidi;;;;;;;
NIDO KATAIFI ;riso;alga nori;pasta kataifi;salmone;;;;;;;;;;;
YAKI UDON;spaghetti;gamberi;verdure;soya;;;;;;;;;;;
YAKI SOBA;spaghetti;pesce bianco;verdure;uova;;;;;;;;;;;
AMAEBI RAMEN;spaghetti;gamberi;verdure;;;;;;;;;;;;
SAKE MESHI;riso;salmone;verdure;uova;;;;;;;;;;;
YASAI MESHI;riso;uova;verdure;;;;;;;;;;;;
EBI MESHI;riso;gamberi;verdure;uova;;;;;;;;;;;
SAKE-FOIE-GRAS NIGIRI;riso;salmone;foie gras;;;;;;;;;;;;
TORI TERIYAKI;pollo;sesamo;soya;;;;;;;;;;;;
MANZO ASPARAGI;manzo;asparagi;salsa dello chef;;;;;;;;;;;;
YAKI ASPARAGUS;asparagi;salsa di miso;sesamo;;;;;;;;;;;;
Chicken katsudon;pollo;uova;riso;;;;;;;;;;;;
Tori udon;spaghetti;pollo;verdure;;;;;;;;;;;;
Yasai temaki;alga nori;cetriolo;avocado;;;;;;;;;;;;
Sushi jo;riso;salmone;tobiko;;;;;;;;;;;;
sake avocado;riso;salmone;avocado;;;;;;;;;;;;
Philadelphia;riso;salmone;philadelphia;;;;;;;;;;;;
sake mango;riso;salmone;mango;;;;;;;;;;;;
ebitem;riso;gamberi;granchio;;;;;;;;;;;;
special ebitem;riso;gamberi;philadelphia;;;;;;;;;;;;
yasai;riso;avocado;cetriolo;;;;;;;;;;;;
geisha;riso;salmone;tonno;granchio;;;;;;;;;;;
TARTAR HAYASHI;tonno;tempura;uova di pesce volante;mango;;;;;;;;;;;
EBI TEMPURA MAKI;riso;alga Nori;gamberi;tempura;tobiko;sesamo;;;;;;;;;
SAKE EBITEN URAMAK;riso;alga Nori;gamberi;sesamo;tempura;salmone;;;;;;;;;
AVOCADO EBITEN URAMAKI;riso;alga Nori;gamberi;sesamo;avocado;;;;;;;;;;
CALIFORNIA CLASSIC;riso;alga Nori;salmone;avocado;cetriolo;surimi;sesamo;tobiko;;;;;;;
SOFT SHELL CRAB MAKI;riso;alga Nori;granchio;tempura;tobiko;sesamo;;;;;;;;;
SAKE TEPPAYAKI MAKI ;riso;alga Nori;salmone;philadelphia;sesamo;tobiko;;;;;;;;;
SAKE PHILADELPHIA MAKI ;riso;alga Nori;salmone;philadelphia;sesamo;;;;;;;;;;
SAKE AVOCADO MAKI;riso;alga Nori;salmone;avocado;sesamo;;;;;;;;;;
SPICY TUNA ROLL;riso;alga Nori;tonno;tobiko;sesamo;spezie;;;;;;;;;
SPICY SALMON ROLL;riso;alga Nori;salmone;tobiko;sesamo;spezie;;;;;;;;;
RAINBOW ROLL;riso;alga Nori;salmone;avocado;surimi;sesamo;;;;;;;;;
AVOCADO SPIDER MAKI;riso;alga Nori;granchio;avocado;;;;;;;;;;;
SAKE SAKURA MAKI;riso;alga Nori;salmone;avocado;tobiko;gamberi;surimi;;;;;;;;
AMONDO URAMAKI;riso;alga Nori;sesamo;mandorle;philadelphia;avocado;salmone;;;;;;;;
SAKE DRAGON URAMAKI;riso;alga Nori;sesamo;salmone;philadelphia;avocado;patate;;;;;;;;
HOTATE URAMAKI;riso;alga Nori;sesamo;capesante;wasabi;cetriolo;gamberi;pinoli;zenzero;;;;;;
MAGURO TATAKI URAMAKI ;riso;alga Nori;sesamo;tonno;cetriolo;gamberi;avocado;zenzero;;;;;;;
SAKE KAWA MAKI;riso;alga Nori;sesamo;salmone;avocado;gamberi;surimi;;;;;;;;
VULCAN URMAKI;riso;alga Nori;sesamo;tonno;tempura;spezie;;;;;;;;;
UNAGI URAMAKI;riso;alga Nori;sesamo;anguilla;;;;;;;;;;;
MAGURO URAMAKI;riso;alga Nori;sesamo;tonno;spezie;;;;;;;;;;
SUZUKI URAMAKIA;riso;alga Nori;sesamo;gamberi;avocado;surimi;spigola;;;;;;;;
CRISPY URAMAKI;riso;alga Nori;sesamo;gamberi;avocado;spigola;;;;;;;;;
FRAGOLA MAKI;riso;alga Nori;sesamo;salmone;philadelphia;fragola;;;;;;;;;
SAKE AVOCADO SALAD;insalata;salmone;avocado;;;;;;;;;;;;
MAGuro su;tonno;alga nori;salsa ponzu;;;;;;;;;;;;
sake su;salmone;alga nori;salsa ponzu;;;;;;;;;;;;
sALMon TArTArE;salmone;insalata;salsa ponzu;;;;;;;;;;;;
tuna tartare;tonno;insalata;salsa ponzu;;;;;;;;;;;;
Mix TArTArE;salmone;insalata;salsa ponzu;tonno;;;;;;;;;;;
tartare special sun;salmone;avocado;gamberi;pomodoro;salsa ponzu;;;;;;;;;;
temaki sake;riso;alga nori;salmone;avocado;maionese;;;;;;;;;;
age tori temaki;riso;alga nori;pollo;cetriolo;salsa piccante;;;;;;;;;;
tobiko temaki;riso;alga nori;tobiko;surimi;avocado;maionese;;;;;;;;;
sake rose temaki;riso;alga nori;soya;salmone;avocado;maionese;;;;;;;;;
green dragon roll;riso;tempura;gamberi;insalata;maionese;avocado;salsa teriyaki;crunch;;;;;;;
crunch tuna roll;riso;tonno;avocado;arachidi;maionese;;;;;;;;;;
sandwich;salmone;avocado;philadelphia;crunch;;;;;;;;;;;
ura love;riso;surimi;avocado;philadelphia;salmone;;;;;;;;;;
sushi sun roll;salmone;riso;avocado;philadelphia;menta;mandorle;salsa teriyaki;;;;;;;;
scampo rainbow;riso;scampi;fagiolini;salmone;tonno;avocado;tobiko;salsa piccante;;;;;;;
avocado tuna;riso;tonno;avocado;philadelphia;salsa piccante;insalata;salsa teriyaki;;;;;;;;
capesante roll;riso;surimi;avocado;capesante;salsa teriyaki;;;;;;;;;;
exotic ebiten;riso;tempura;gamberi;insalata;philadelphia;salsa al mango;mango;;;;;;;;
special tuna;riso;avocado;philadelphia;tonno;pistacchio;rucola;;;;;;;;;
rosa futomaki;salmone;riso;gamberi;insalata;philadelphia;fagiolini;tobiko;soya;pistacchio;;;;;;
HAnA sun;salmone;cetriolo;rucola;gamberi;salsa ponzu;;;;;;;;;;
sake gunkan;alga nori;salmone;maionese;;;;;;;;;;;;
spicy salmon gunkan;alga nori;salmone;maionese;tabasco;;;;;;;;;;;
tuna gunkan;alga nori;tonno;maionese;;;;;;;;;;;;
spicy tuna gunkan;alga nori;tonno;maionese;tabasco;;;;;;;;;;;
cetriolo salmone gunkan;alga nori;riso;cetriolo;salmone;;;;;;;;;;;
cetriolo tonno gunkan;alga nori;riso;cetriolo;tonno;;;;;;;;;;;
nabe YaKi noodles;spaghetti;uova;verdure;tempura;gamberi;;;;;;;;;;
niKu noodles;spaghetti;manzo;verdure;;;;;;;;;;;;
tori raMen;spaghetti;pollo;verdure;uova;;;;;;;;;;;
